Formula                         icsd     idk1 idk2
Pd8Sn24                        413279   64   SEBR
P1                             417180   64   SEBR
P1                              23836   64   SEBR
P1                             150873   64   SEBR
La1S1                           77831   64   SEBR
K1Na2Ni1O2                      79878   64   SEBR
Hf2Ni3Si4                       40442   64   SEBR
Ge2Ni1                          90341   64   SEBR
Ga1Sn2V2                       150569   64   SEBR
Ga1Sn2V2                       106752   64   SEBR
Co2Nb2Te4                       71196   64   SEBR
Co1Nb1Te2                       71519   64   SEBR
Co1Cs1O2                       424937   64   SEBR
Ca5Ga2N4                        40372   64   SEBR
Ca2Mn1O3.5                     103352   64   SEBR
Ba2Ge4Pd5                      186936   64   SEBR
Ba2Bi4Cd3                       58636   64   SEBR
Ba2Bi4Cd3                      416447   64   SEBR
Ba2Bi4Cd3                      416446   64   SEBR
Ba2Bi4Cd3                      416445   64   SEBR
Ba2Bi4Cd3                      416444   64   SEBR
As2Ni3O8                        63708   64   SEBR
Ag1Fe2S3                        68347   64   SEBR
Ni1Si3Y1                        87827   65   SEBR
La2Sn5                         261871   65   SEBR
In9Ni4Y11                      167637   65   SEBR
In9La11Ni4                     167624   65   SEBR
Ho2Ni2Pb1                       54612   65   SEBR
Ge3Ni1Y1                        60646   65   SEBR
Fe4O11Sr4                       91064   65   SEBR
Fe2Si7U3                        20337   65   SEBR
Ce7Ge10Li8                     424317   65   SEBR
Ce3Sn7                          63667   65   SEBR
Br2Ce4Ga5                      413212   65   SEBR
Ba2Cu4O8Yb1                     78621   65   SEBR
Au7Rb3                         106291   65   SEBR
Au7Rb3                         106290   65   SEBR
Au4Ce1Si2                      418529   65   SEBR
Pt3Rb2Se6U1                    262559   69   SEBR
Pd3Rb2Se6U1                    262561   69   SEBR
Pd3Rb2S6U1                     262562   69   SEBR
K2Pd3S6U1                      262563   69   SEBR
Ge6Li2Sr4                      414574   69   SEBR
Cu2O3Sr2                        68676   69   SEBR
Cs2Pt3Se6U1                    262555   69   SEBR
Cs2Pd3Se6U1                    262557   69   SEBR
Cs2Pd3Se6U1                    261242   69   SEBR
Cs2Pd3S6U1                     262558   69   SEBR
Ba2Na1Ni3O6                     73160   69   SEBR
Ba2Na1Ni3O6                     59588   69   SEBR
Ba2Cu3Na1O6                     72328   69   SEBR
Ba2Cu3Na1O6                     59589   69   SEBR
Ba2Cu3Li1O6                    401239   69   SEBR
Ag2Ca4Si6                      410522   69   SEBR
Si2Ti1                           1089   70   SEBR
Sb1Sn1Ti1                       97545   70   SEBR
Nb1Sn2                         106552   70   SEBR
Ga2Rh2Sr1                      429511   70   SEBR
